"applicant,application_date,application_number,document_date,document_number,inventor,patenttag,title"
"招商局地产控股股份有限公司,2015-10-23,CN201510696264.X,2016-01-06,CN105220794A,强斌,审中-公开,一种预制装配式剪力墙竖向主筋快速连接方法"
"招商局地产控股股份有限公司,2015-11-03,CN201510737505.0,2016-01-13,CN105240960A,""刘拴强,颜永民,刘凯敬,张传经,陈海波"",审中-公开,一种溶液调湿新风结合高温多联机的空调系统及其设计方法"
"招商局地产控股股份有限公司,2015-11-03,CN201520866953.6,2016-06-15,CN205316534U,""刘拴强,颜永民,刘凯敬,张传经,陈海波"",有权,一种溶液调湿新风结合高温多联机的空调系统"
"深圳市深宝实业股份有限公司,2013-11-21,CN201310587682.6,2014-03-26,CN103652006A,""何群仙,罗龙新,段玲靓,罗俊"",有权,一种复合花香型绿茶及其加工方法"
"深圳市深宝实业股份有限公司,2014-11-18,CN201410659989.7,2017-02-01,CN104322724B,""彭永华,李静,张啟,陈悦水,罗龙新"",有权,一种湿法粉碎制备超微红茶粉方法"
"深圳市深宝实业股份有限公司,2013-11-21,CN201310594466.4,2014-04-02,CN103689158A,""周军,陈悦水,罗龙新"",有权,一种菊花提取物的制备方法"
"深圳市深宝实业股份有限公司,2013-11-21,CN201310594466.4,2015-03-25,CN103689158B,""周军,陈悦水,罗龙新"",有权,一种菊花提取物的制备方法"
"深圳市深宝实业股份有限公司,2014-11-18,CN201410659989.7,2015-02-04,CN104322724A,""彭永华,李静,张啟,陈悦水,罗龙新"",有权,一种湿法粉碎制备超微红茶粉方法"
"深圳市深宝实业股份有限公司,2014-11-18,CN201410659990.X,2015-02-18,CN104351431A,""李静,易晓霆,陈悦水,罗龙新,彭永华,刘娥"",无效,一种茉莉清茶浓缩汁的制作方法"
"深圳市深宝实业股份有限公司,2013-11-21,CN201310587682.6,2015-06-17,CN103652006B,""何群仙,罗龙新,段玲靓,罗俊"",有权,一种复合花香型绿茶及其加工方法"
"深圳中华自行车(集团)股份有限公司,2017-08-18,CN201730383162.2,2018-04-06,CN304571547S,张佳敏,有权,自行车车架"
"深圳中华自行车(集团)股份有限公司,2017-04-14,CN201730123075.3,2017-09-22,CN304292422S,张佳敏,有权,电动自行车架"
"深圳长城开发科技股份有限公司,2014-11-25,CN201410690917.9,2017-08-29,CN104408386B,甘勇军,有权,一种防拆保护装置"
"深圳长城开发科技股份有限公司,2014-11-19,CN201410665331.7,2015-03-25,CN104465185A,余军,无效,一种键盘膜键盘保护装置"
"深圳长城开发科技股份有限公司,2012-05-11,CN201210146329.X,2018-04-03,CN103389135B,""李常波,高忆祖,刘晋梅"",有权,计量设备的自动调整计量逻辑的方法"
"平安银行股份有限公司,2013-02-06,CN201310047841.3,2013-06-05,CN103139210A,""张元良,李耀星,李恒,廖小荣,黄劲宾"",有权,一种安全认证方法"
"深圳长城开发科技股份有限公司,2009-09-10,CN200910173402.0,2011-04-20,CN102025397A,""黄访,丘建忠"",无效,电力载波信号解调装置"
"深圳长城开发科技股份有限公司,2008-02-03,CN200810066068.4,2011-03-16,CN101498758B,邓伟华,有权,一种电流回路短路检测方法和装置"
"深圳长城开发科技股份有限公司,2009-11-20,CN200910226428.7,2011-05-25,CN102075011A,""刘晋梅,李勇权,郝松"",有权,具有自恢复功能的电力集中器"
"平安银行股份有限公司,2017-01-16,CN201710027730.4,2018-03-20,CN107015864B,""张元良,刘俊杰,高巍,黄劲霄,蔡俊杰,于立新,李浩,刘经纬,刘海波,宋文力"",有权,业务批量处理控制方法及装置"
"平安银行股份有限公司,2017-01-16,CN201710027730.4,2017-08-04,CN107015864A,""张元良,刘俊杰,高巍,黄劲霄,蔡俊杰,于立新,李浩,刘经纬,刘海波,宋文力"",有权,业务批量处理控制方法及装置"
"深圳长城开发科技股份有限公司,2007-10-18,CN200710124077.X,2011-07-20,CN101413982B,丁养志,有权,电流回路短路检测方法及装置"
"深圳长城开发科技股份有限公司,2008-02-22,CN200810065704.1,2012-05-23,CN101515029B,邓伟华,有权,一种电量计量装置零线异常的检测方法及装置"
"平安银行股份有限公司,2016-08-15,CN201610674617.0,2018-03-06,CN107767151A,""姚贵平,郭蕴川,陈洁茹,陈爱红,杜晓敏,管仕仲"",审中-实审,优惠信息的处理方法、装置和服务器"
"平安银行股份有限公司,2017-01-16,CN201710027729.1,2017-07-21,CN106970934A,""张元良,刘俊杰,高巍,黄劲霄,蔡俊杰,于立新,李浩,刘经纬,金杰"",审中-实审,交易处理控制方法及系统"
"深圳长城开发科技股份有限公司,2006-10-20,CN200610063242.0,2012-02-22,CN101165496B,""王春国,王毅"",有权,一种分流器"
"深圳长城开发科技股份有限公司,2012-01-16,CN201210012725.3,2013-07-17,CN103209359A,黎仁明,审中-实审,IP机顶盒PPPOE接入网络异常的处理方法"
"平安银行股份有限公司,2017-01-16,CN201710027705.6,2017-07-21,CN106971340A,""张元良,刘俊杰,高巍,黄劲霄,蔡俊杰,于立新,李浩,金杰,宋文力"",审中-实审,交易核算的方法及系统"
"平安银行股份有限公司,2017-01-16,CN201710027726.8,2017-08-04,CN107015869A,""张元良,刘俊杰,高巍,黄劲霄,蔡俊杰,于立新,李浩,刘经纬,陈梓培"",审中-实审,交易入账控制方法及系统"
"深圳长城开发科技股份有限公司,2008-06-03,CN200810067632.4,2013-10-02,CN101599770B,陈耿,有权,一种键盘及键盘检测方法"
"深圳长城开发科技股份有限公司,2014-11-25,CN201410690917.9,2015-03-11,CN104408386A,甘勇军,有权,一种防拆保护装置"
"深圳长城开发科技股份有限公司,2012-10-16,CN201210391521.5,2014-04-16,CN103727424A,""熊念春,胡旭隆,张宇,张科印,王文杰"",有权,一种LED日光灯"
"平安银行股份有限公司,2016-08-15,CN201610670314.1,2018-03-06,CN107767147A,""姚贵平,郭蕴川,陈洁茹,陈爱红,杜晓敏,管仕仲"",审中-实审,优惠信息的处理方法、装置及终端设备"
"平安银行股份有限公司,2016-08-15,CN201610670313.7,2018-03-06,CN107767146A,""姚贵平,郭蕴川,陈洁茹,陈爱红,杜晓敏,管仕仲"",审中-实审,优惠信息的处理方法、装置及终端设备"
"深圳长城开发科技股份有限公司,2012-07-05,CN201210231708.9,2017-03-29,CN103383789B,""李燕,罗成"",有权,一种用于检测发票真伪的方法及系统"
"深圳长城开发科技股份有限公司,2014-08-06,CN201410385238.0,2016-02-17,CN105329667A,""李珍华,周新明,申文明"",审中-实审,多吸嘴取放装置"
"平安银行股份有限公司,2016-08-15,CN201610673594.1,2018-03-06,CN107767149A,""姚贵平,郭蕴川,陈洁茹,陈爱红,杜晓敏,管仕仲"",审中-实审,优惠信息的处理系统"
"平安银行股份有限公司,2017-01-16,CN201710027718.3,2017-07-21,CN106973078A,""张元良,李耀星,吕云捷,蔡俊杰"",审中-实审,业务数据处理的方法及信息交换控制系统"
"深圳长城开发科技股份有限公司,2014-08-06,CN201410385314.8,2016-02-17,CN105328981A,""刘国华,吴建华"",审中-实审,自动加锡装置及其控制方法、丝印机"
"深圳长城开发科技股份有限公司,2014-08-06,CN201410385315.2,2016-03-02,CN105372044A,""陈军,徐增会,杜浩,王沛"",审中-实审,静态机械参数测试仪的精度分析方法及HGA工装"
"平安银行股份有限公司,2017-01-16,CN201710027703.7,2017-08-04,CN107016536A,""张元良,刘俊杰,高巍,黄劲霄,蔡俊杰,于立新,李浩,金杰,陈梓培"",审中-实审,交易处理的方法及交易服务器"
"平安银行股份有限公司,2013-02-06,CN201310047829.2,2013-06-12,CN103150649A,""张元良,李耀星,李恒,廖小荣,黄劲宾"",无效,一种通过手机实现支付转账和无卡取现的交易方法"
"深圳长城开发科技股份有限公司,2015-04-22,CN201510191771.8,2016-11-23,CN106141986A,""张宗印,曾伟,梁源愿"",审中-实审,HSA反向安装COMB转换机构"
"深圳长城开发科技股份有限公司,2009-04-22,CN200910134744.1,2010-10-27,CN101871967A,游志刚,有权,一种电能表的计量方法"
"康佳集团股份有限公司,2014-04-24,CN201410167445.9,2014-08-13,CN103986893A,梁建利,有权,一种液晶电视及其窄边框装饰条"
"平安银行股份有限公司,2013-02-06,CN201310047841.3,2016-09-14,CN103139210B,""张元良,李耀星,李恒,廖小荣,黄劲宾"",有权,一种安全认证方法"
"平安银行股份有限公司,2016-08-16,CN201630394661.7,2017-03-29,CN304089024S,""姚贵平,郭蕴川,陈洁茹,陈爱红,杜晓敏,管仕仲"",有权,用于智能终端的图形用户界面主视图"
"深圳长城开发科技股份有限公司,2009-04-14,CN200910133546.3,2010-10-20,CN101865957A,""吕晓军,丁养志,崔安江"",有权,检测放电干扰的方法、装置以及具有该装置的电能表"
"深圳市飞亚达(集团)股份有限公司,2011-03-15,CN201110062163.9,2012-09-19,CN102681431A,""陈恭谦,李北,廖望"",无效,一种计时表"
"康佳集团股份有限公司,2009-12-15,CN200910188933.7,2014-07-16,CN102098463B,邹楠,失效,低功耗电视机"
"康佳集团股份有限公司,2013-10-11,CN201310471839.9,2014-02-05,CN103561301A,何银南,审中-实审,一种利用电视机配置遥控器的方法、系统及电视机"
"平安银行股份有限公司,2016-08-16,CN201630394663.6,2017-03-01,CN304061946S,""姚贵平,郭蕴川,陈洁茹,陈爱红,杜晓敏,管仕仲"",有权,用于智能终端的图形用户界面设计1主视图"
"平安银行股份有限公司,2016-08-16,CN201630394366.1,2017-05-10,CN304130345S,""姚贵平,郭蕴川,陈洁茹,陈爱红,杜晓敏,管仕仲"",有权,用于手机的图形用户界面"
